SERVICELEVEL;CALENDAR;OPERATINGDAY;PIECETYPE;STARTINGDATE;ENDINGDATE;LINE;LINEBASIN;LINECOMPANY;PATTERN;DIRECTION;TRIPCODE;TRIPCOMPANYCODE;ACTIVITYNUMBER;LENGTH;VEHBLOCKID;DEPOT;VEHICLETYPE;VBLINE;VB_LINEBASIN;VB_LINECOMPANY;PIECEORDER;ARRIVALTIME;DEPARTURETIME;NODE;NODEBASIN;NODECOMPANY;PASSAGEORDER;BLOCK;LINE_EXCEL;EXCEL_NAME;DUTY;SOURCE_FILE
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;36K;KTEL_S;Def;2751;1;199138186;199138186;199138186;17512.9;;;;;;;;07:10:00;07:10:00;N1407;OSETH;Def;3;3601;36Κ;line36 (2025).xlsx;3601_1;line36 (2025)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ.csv
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;36K;KTEL_S;Def;2751;1;630106998;630106998;630106998;17512.9;;;;;;;;06:55:00;06:55:00;N1407;OSETH;Def;1;3603;36Κ;line36 (2025).xlsx;3603_1;line36 (2025)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ.csv
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;36K;KTEL_S;Def;2751;1;630106998;630106998;630106998;17512.9;;;;;;;;07:15:00;07:15:00;N36080;OSETH;Def;2;3603;36Κ;line36 (2025).xlsx;3603_1;line36 (2025)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ.csv
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;36K;KTEL_S;Def;2751;1;630106998;630106998;630106998;17512.9;;;;;;;;07:35:00;07:35:00;N1407;OSETH;Def;3;3603;36Κ;line36 (2025).xlsx;3603_1;line36 (2025)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ.csv
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;36;KTEL_S;Def;2743;1;799200737;799200737;799200737;26076.68;;;;;;;;07:05:00;07:05:00;N1407;OSETH;Def;1;3602;36;line36 (2025).xlsx;3602_1;line36 (2025)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ.csv
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;36;KTEL_S;Def;2743;1;799200737;799200737;799200737;26076.68;;;;;;;;07:35:00;07:35:00;N15094;OSETH;Def;2;3602;36;line36 (2025).xlsx;3602_1;line36 (2025)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ.csv
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;36;KTEL_S;Def;2743;1;799200737;799200737;799200737;26076.68;;;;;;;;08:05:00;08:05:00;N1407;OSETH;Def;3;3602;36;line36 (2025).xlsx;3602_1;line36 (2025)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ.csv
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;36H;KTEL_S;Def;2749;1;462841122;462841122;462841122;19745.15;;;;;;;;07:35:00;07:35:00;N1407;OSETH;Def;1;3601;36Η;line36 (2025).xlsx;3601_1;line36 (2025)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ.csv
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;36H;KTEL_S;Def;2749;1;462841122;462841122;462841122;19745.15;;;;;;;;07:57:00;07:57:00;N36174;OSETH;Def;2;3601;36Η;line36 (2025).xlsx;3601_1;line36 (2025)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ.csv
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;36H;KTEL_S;Def;2749;1;462841122;462841122;462841122;19745.15;;;;;;;;08:20:00;08:20:00;N1407;OSETH;Def;3;3601;36Η;line36 (2025).xlsx;3601_1;line36 (2025)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ.csv
