SERVICELEVEL;CALENDAR;OPERATINGDAY;PIECETYPE;STARTINGDATE;ENDINGDATE;LINE;LINEBASIN;LINECOMPANY;PATTERN;DIRECTION;TRIPCODE;TRIPCOMPANYCODE;ACTIVITYNUMBER;LENGTH;VEHBLOCKID;DEPOT;VEHICLETYPE;VBLINE;VB_LINEBASIN;VB_LINECOMPANY;PIECEORDER;ARRIVALTIME;DEPARTURETIME;NODE;NODEBASIN;NODECOMPANY;PASSAGEORDER;BLOCK;LINE_EXCEL;EXCEL_NAME;DUTY;SOURCE_FILE;PATTERNCODE;correct_depot
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-Χ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702;0;152154971;152154971;152154971;13536.51;;;;;;;;08:00:00;08:00:00;N1427;OSETH;Def;1;7802;02X;line02X (2025 08).xlsx;7802_1;line02X (2025 08)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ.csv;2702;Foinika
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-Χ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702;0;152154971;152154971;152154971;13536.51;;;;;;;;08:20:00;08:20:00;N36013;OSETH;Def;2;7802;02X;line02X (2025 08).xlsx;7802_1;line02X (2025 08)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ.csv;2702;Foinika
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-Χ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702;0;515632473;515632473;515632473;13536.51;;;;;;;;08:20:00;08:20:00;N1427;OSETH;Def;1;7801;02X;line02X (2025 08).xlsx;7801_1;line02X (2025 08)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ.csv;2702;Foinika
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-Χ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702;0;515632473;515632473;515632473;13536.51;;;;;;;;08:40:00;08:40:00;N36013;OSETH;Def;2;7801;02X;line02X (2025 08).xlsx;7801_1;line02X (2025 08)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ.csv;2702;Foinika
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-Χ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702;0;383302453;383302453;383302453;13536.51;;;;;;;;08:40:00;08:40:00;N1427;OSETH;Def;1;7803;02X;line02X (2025 08).xlsx;7803_1;line02X (2025 08)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ.csv;2702;Foinika
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-Χ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702;0;383302453;383302453;383302453;13536.51;;;;;;;;09:00:00;09:00:00;N36013;OSETH;Def;2;7803;02X;line02X (2025 08).xlsx;7803_1;line02X (2025 08)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ.csv;2702;Foinika
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-Χ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702;0;850535637;850535637;850535637;13536.51;;;;;;;;09:00:00;09:00:00;N1427;OSETH;Def;1;7802;02X;line02X (2025 08).xlsx;7802_1;line02X (2025 08)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ.csv;2702;Foinika
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-Χ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702;0;850535637;850535637;850535637;13536.51;;;;;;;;09:20:00;09:20:00;N36013;OSETH;Def;2;7802;02X;line02X (2025 08).xlsx;7802_1;line02X (2025 08)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ.csv;2702;Foinika
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-Χ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702;0;463851649;463851649;463851649;13536.51;;;;;;;;09:20:00;09:20:00;N1427;OSETH;Def;1;7801;02X;line02X (2025 08).xlsx;7801_1;line02X (2025 08)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ.csv;2702;Foinika
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-Χ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702;0;463851649;463851649;463851649;13536.51;;;;;;;;09:40:00;09:40:00;N36013;OSETH;Def;2;7801;02X;line02X (2025 08).xlsx;7801_1;line02X (2025 08)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ.csv;2702;Foinika
